id,card_text
table:wp_woocommerce_order_itemmeta,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_order_itemmeta ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() WC_Data_Store_WP->read_meta() update_meta_cache() add_metadata() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php /var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php /var/www/html/wp-includes/meta.php
table:wp_woocommerce_order_items,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_order_items ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() Abstract_WC_Order_Data_Store_CPT->read_items() Abstract_WC_Order_Item_Type_Data_Store->create() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php /var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php
table:wp_woocommerce_payment_tokenmeta,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_payment_tokenmeta ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_woocommerce_payment_tokens,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_payment_tokens ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_woocommerce_sessions,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_sessions ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_woocommerce_shipping_zone_locations,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_shipping_zone_locations ACCESSED_BY_FUNCTIONS:WC_Shipping_Zone_Data_Store->read_zone_locations() AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/data-stores/class-wc-shipping-zone-data-store.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_woocommerce_shipping_zone_methods,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_shipping_zone_methods ACCESSED_BY_FUNCTIONS:WC_Shipping_Zone_Data_Store->get_methods() AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_woocommerce_shipping_zones,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_shipping_zones ACCESSED_BY_FUNCTIONS:WC_Shipping_Zone_Data_Store->get_zones() AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_woocommerce_tax_rate_locations,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_tax_rate_locations ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_woocommerce_tax_rates,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_woocommerce_tax_rates ACCESSED_BY_FUNCTIONS:AutomatticWAARTSDataStore::get_taxes() AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Admin/Features/OnboardingTasks/Tasks/Tax.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_zpm_activity,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_zpm_activity ACCESSED_BY_FUNCTIONS:ZephyrProjectManagerCoreActivity::log_activity() ZephyrProjectManagerCoreActivity::get_activities() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/zephyr-project-manager/includes/Core/Projects.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Base/AjaxHandler.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/activity.php
table:wp_zpm_categories,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_zpm_categories ACCESSED_BY_FUNCTIONS:ZephyrProjectManagerCoreCategories::fetch() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/zephyr-project-manager/includes/ZephyrProjectManager.php
table:wp_zpm_messages,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_zpm_messages ACCESSED_BY_FUNCTIONS:ZephyrProjectManagerBaseAjaxHandler->send_comment() ACCESSED_BY_FILES:/var/www/html/wp-includes/class-wp-hook.php
